ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
342,Mediaocean,2019-20,6.82,CE & IT (UG),3,0,2,2,3,5,6
343,Medly Pharmacy,2020 -21,6.82,CE & IT (UG and PG),2,0,1,3,0,3,7
344,Merilytics,2023-24,6.5,All UG,2,0,0,1,1,2,8.5
345,MetaMorphoSys,2021 -22,6.82,All (UG),0,0,1,1,0,1,6.5
346,Metro GSC,2022-23,6.5,All (UG),0,2,0,1,1,2,8
347,Metro-GSC,2023-24,7,All UG,1,2,1,1,3,4,9
348,Microsoft,2019-20,PPO,CE & IT (UG),1,0,0,0,1,1,43.33
349,Microsoft,2021 -22,PPO,All (UG),1,0,1,0,2,2,44.7
350,Miko,2022-23,6.5,All (UG),0,1,0,1,0,1,12
351,Mindstix,2023-24,6.82,ALL UG,0,2,0,1,1,2,6
352,Mindstix,2021 -22,NC,All (UG and PG),0,1,0,1,0,1,5.3
353,Mindstix Software Labs,2020 -21,NC,All (UG and PG),1,0,1,1,1,2,6.3
