ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
126,Placement Report_modified_ 2020-21.csv,7,Acquia,2020 -21,6.82,CE & IT (UG),3,1,2,0,0,0,6,5,4,9,8.38
127,Placement Report_modified_ 2020-21.csv,9,Agiliad,2020 -21,7.38,All (UG),3,2,1,7,5,2,2,5,7,12,4
128,Placement Report_modified_ 2020-21.csv,8,ADP,2020 -21,6.82,All (UG - Female),1,1,0,0,0,0,0,0,1,1,5
129,Placement Report_modified_ 2020-21.csv,11,Aligned Automation,2020 -21,6.82,All (UG),0,0,0,2,2,0,0,2,0,2,3.75
130,Placement Report_modified_ 2020-21.csv,10,AlefEdge,2020 -21,6.82,All (UG),5,4,1,1,1,0,1,6,1,7,7.04
131,Placement Report_modified_ 2020-21.csv,14,Amura,2020 -21,6.82,All (UG),0,0,0,1,1,0,1,1,1,2,4.5
132,Placement Report_modified_ 2020-21.csv,13,Amdocs,2020 -21,6.82,All (UG and PG),6,1,5,19,16,3,5,20,10,30,5
133,Placement Report_modified_ 2020-21.csv,12,Altizon Inc.,2020 -21,7,All (UG),2,1,1,0,0,0,1,2,1,3,8.25
134,Placement Report_modified_ 2020-21.csv,18,Atos,2020 -21,6.82,All (UG),1,1,0,3,2,1,2,3,3,6,3.1
135,Placement Report_modified_ 2020-21.csv,17,Arista Networks,2020 -21,8,All (UG),1,1,0,0,0,0,1,2,0,2,15.5
136,Placement Report_modified_ 2020-21.csv,16,Apisero,2020 -21,6.5,All (UG and PG),3,3,0,7,5,2,2,9,3,12,5.1
137,Placement Report_modified_ 2020-21.csv,15,Anchanto,2020 -21,6,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,7.5
138,Placement Report_modified_ 2020-21.csv,23,bizAmica Software,2020 -21,7.5,CE & IT (UG),0,0,0,0,0,0,2,2,0,2,6
139,Placement Report_modified_ 2020-21.csv,22,Barclays,2020 -21,6.82,CE & IT (UG),14,13,1,0,0,0,19,18,15,33,8
140,Placement Report_modified_ 2020-21.csv,21,Barclays,2020 -21,PPO,CE & IT (UG),1,0,1,0,0,0,0,1,0,1,8
141,Placement Report_modified_ 2020-21.csv,20,Avaya,2020 -21,7.95,All (UG),4,4,0,0,0,0,1,4,1,5,12.07
142,Placement Report_modified_ 2020-21.csv,19,Avalara Technologies,2020 -21,NC,CE & IT (UG - Female),0,0,0,0,0,0,0,0,0,0,22
143,Placement Report_modified_ 2020-21.csv,29,Cloudwerx,2020 -21,7.5,All (UG),0,0,0,2,2,0,0,1,1,2,5
144,Placement Report_modified_ 2020-21.csv,28,Ciena,2020 -21,7.95,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,10.5
145,Placement Report_modified_ 2020-21.csv,27,Centiro,2020 -21,7,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,3.8
146,Placement Report_modified_ 2020-21.csv,26,Capgemini,2020 -21,6.82,All (UG),0,0,0,6,1,5,0,5,1,6,3.8
147,Placement Report_modified_ 2020-21.csv,25,CakeSoft Technologies,2020 -21,8,All (UG),5,4,1,0,0,0,4,8,1,9,12
148,Placement Report_modified_ 2020-21.csv,24,BUDDI.AI,2020 -21,NC,All (UG),0,0,0,0,0,0,2,2,0,2,7
149,Placement Report_modified_ 2020-21.csv,36,Deqode,2020 -21,NC,CE & IT (UG),0,0,0,0,0,0,2,2,0,2,6.5
150,Placement Report_modified_ 2020-21.csv,35,Delhivery,2020 -21,6.5,All (UG) and CE (PG),0,0,0,0,0,0,0,0,0,0,8
